Week,Year,Status,Total Volume,California,Chile,Mexico,Peru,Colombia
6-Oct-19,2019,Actual,"48,828,843","476,745","2,628,545","45,673,552",0,"50,000"
13-Oct-19,2019,Actual,"52,027,810","170,248","2,304,294","49,553,268",0,0
20-Oct-19,2019,Actual,"45,213,563",0,"1,689,204","43,524,359",0,0
27-Oct-19,2019,Actual,"48,468,039",0,"1,369,502","47,098,535",0,0
3-Nov-19,2019,Actual,"53,112,275",0,"1,202,068","51,910,206",0,0
10-Nov-19,2019,Actual,"43,217,649",0,"188,154","43,029,495",0,0
17-Nov-19,2019,Actual,"41,304,726",0,"89,949","41,214,777",0,0
24-Nov-19,2019,Actual,"39,597,532",0,"234,344","39,363,186",0,0
1-Dec-19,2019,Actual,"49,266,022",0,"363,868","48,902,153",0,0
8-Dec-19,2019,Actual,"55,662,831",0,"314,608","55,348,222",0,0
15-Dec-19,2019,Actual,"48,427,351",0,"314,608","48,112,742",0,0
22-Dec-19,2019,Actual,"49,600,528",0,"177,780","49,422,746",0,0
29-Dec-19,2019,Actual,"33,408,342",0,"222,755","33,185,587",0,0
5-Jan-20,2020,Actual,"32,537,444","37,220","159,041","32,291,182",0,"50,000"
12-Jan-20,2020,Actual,"65,307,572","319,866","177,780","64,809,925",0,0
19-Jan-20,2020,Actual,"76,375,629","1,604,707","222,755","74,498,167",0,"50,000"
26-Jan-20,2020,Actual,"66,647,112","2,822,485",0,"63,774,627",0,"50,000"
2-Feb-20,2020,Actual,"45,414,983","2,704,489",0,"42,710,494",0,0
9-Feb-20,2020,Actual,"29,476,898","2,489,304",0,"26,987,593",0,0
16-Feb-20,2020,Actual,"50,713,581","5,257,159",0,"45,456,422",0,0
23-Feb-20,2020,Actual,"60,175,473","6,454,635",0,"53,720,838",0,0
1-Mar-20,2020,Actual,"56,195,818","9,785,442",0,"46,410,376",0,0
8-Mar-20,2020,Actual,"47,119,478","8,249,788",0,"38,869,689",0,0
15-Mar-20,2020,Actual,"48,039,847","3,868,964",0,"44,120,882","50,000",0
22-Mar-20,2020,Actual,"54,765,620","8,086,208",0,"46,679,412",0,0
29-Mar-20,2020,Actual,"36,225,538","8,323,661",0,"27,901,876",0,0
5-Apr-20,2020,Actual,"24,392,863","7,933,743",0,"16,174,674","284,446",0
12-Apr-20,2020,Actual,"24,945,091","3,115,152",0,"21,687,715","142,223",0
19-Apr-20,2020,Actual,"65,731,766","15,741,055",0,"49,706,264","284,446",0
26-Apr-20,2020,Actual,"70,861,471","16,932,573",0,"53,786,674","142,223",0
3-May-20,2020,Actual,"57,343,819","17,453,801",0,"39,463,348","426,669",0
10-May-20,2020,Actual,"68,814,562","17,353,081",0,"50,608,141","853,338",0
17-May-20,2020,Actual,"54,720,342","14,715,907",0,"38,724,426","1,280,008",0
24-May-20,2020,Actual,"51,932,040","16,615,963",0,"33,372,360","1,943,716",0
31-May-20,2020,Actual,"51,667,453","11,861,004",0,"35,634,569","4,171,879",0
7-Jun-20,2020,Actual,"54,322,214","12,247,478",0,"33,956,728","8,022,343","95,663"
14-Jun-20,2020,Actual,"64,385,710","13,344,459",0,"39,424,664","11,425,260","191,326"
21-Jun-20,2020,Actual,"65,624,404","13,754,827",0,"39,545,860","12,136,375","187,340"
28-Jun-20,2020,Actual,"67,186,115","15,228,590",0,"35,035,819","16,687,516","234,188"
5-Jul-20,2020,Actual,"55,217,288","11,780,040",0,"26,616,471","16,634,420","186,356"
12-Jul-20,2020,Actual,"52,258,875","11,391,217",0,"25,273,369","15,360,100","234,188"
19-Jul-20,2020,Actual,"55,528,282","10,130,158",0,"29,182,989","16,023,808","191,326"
26-Jul-20,2020,Actual,"59,549,678","9,483,748",0,"36,790,367","12,992,559","283,003"
2-Aug-20,2020,Actual,"61,589,035","9,301,142",0,"38,468,421","13,484,651","334,820"
9-Aug-20,2020,Actual,"52,326,427","9,553,079",0,"32,109,326","10,524,513","139,508"
16-Aug-20,2020,Actual,"45,333,672","8,693,483",0,"28,246,903","8,154,127","239,157"
23-Aug-20,2020,Actual,"54,176,904","7,873,941",0,"39,333,180","6,874,119","95,663"
30-Aug-20,2020,Actual,"48,717,827","8,494,500",0,"34,643,071","5,451,887","128,368"
6-Sep-20,2020,Actual,"52,693,480","8,453,470",0,"39,925,907","4,314,102",0
13-Sep-20,2020,Actual,"50,284,383","5,945,695","50,794","41,917,507","2,370,385",0
20-Sep-20,2020,Actual,"45,986,305","6,779,219","198,945","38,249,616","758,523",0
27-Sep-20,2020,Actual,"56,022,215","5,944,327","551,263","49,431,809","94,815",0
4-Oct-20,2020,Actual,"52,210,342","3,964,963","456,910","47,788,469",0,0
11-Oct-20,2020,Actual,"56,934,734","2,412,058","405,483","54,117,193",0,0
18-Oct-20,2020,Actual,"55,700,190","2,203,774","255,824","52,907,739",0,"332,851"
25-Oct-20,2020,Actual,"55,363,816","1,974,640","131,219","52,925,105",0,"332,851"
1-Nov-20,2020,Actual,"49,583,231","1,314,534",0,"48,220,715",0,"47,981"
8-Nov-20,2020,Actual,"42,926,514","1,634,969",0,"41,148,050",0,"143,494"
15-Nov-20,2020,Actual,"56,990,553","1,390,168",0,"55,600,384",0,0
22-Nov-20,2020,Actual,"51,684,524","1,239,004",0,"50,445,520",0,0
29-Nov-20,2020,Actual,"51,583,230","1,193,940",0,"50,389,290",0,0
6-Dec-20,2020,Actual,"48,362,546","999,980",0,"47,362,565",0,0
13-Dec-20,2020,Actual,"46,412,939","122,100",0,"46,130,838",0,"160,000"
20-Dec-20,2020,Actual,"53,259,676",0,0,"53,259,675",0,0
27-Dec-20,2020,Actual,"44,512,948",0,0,"44,512,948",0,0
3-Jan-21,2020,Actual,"44,852,746",0,0,"44,852,745",0,0
10-Jan-21,2021,Actual,"65,479,250",0,0,"65,379,249",0,"100,000"
17-Jan-21,2021,Actual,"78,395,979",0,0,"78,245,979",0,"150,000"
24-Jan-21,2021,Actual,"73,878,325","396,135",0,"73,432,189",0,"50,000"
31-Jan-21,2021,Actual,"60,797,387","233,880",0,"60,563,507",0,0
7-Feb-21,2021,Actual,"43,169,707","223,290",0,"42,946,416",0,0
14-Feb-21,2021,Actual,"54,404,321","522,465",0,"53,881,855",0,0
21-Feb-21,2021,Actual,"58,759,609","1,475,955",0,"57,243,653",0,"40,000"
28-Feb-21,2021,Actual,"61,732,359","3,433,895",0,"58,258,464",0,"40,000"
7-Mar-21,2021,Actual,"57,772,580","3,661,999",0,"54,070,581",0,"40,000"
14-Mar-21,2021,Actual,"61,007,381","2,700,390",0,"58,266,990",0,"40,000"
21-Mar-21,2021,Actual,"59,421,985","4,830,498",0,"54,591,486",0,0
28-Mar-21,2021,Actual,"64,465,083","7,784,857",0,"56,680,226",0,0
4-Apr-21,2021,Actual,"38,314,144","9,109,148",0,"29,204,995",0,0
11-Apr-21,2021,Actual,"56,178,007","10,002,708",0,"46,087,890","47,407","40,000"
18-Apr-21,2021,Actual,"69,888,967","12,628,728",0,"57,021,421","238,817",0
25-Apr-21,2021,Actual,"63,507,169","12,074,580",0,"51,241,179","191,409",0
2-May-21,2021,Actual,"54,875,519","11,559,832",0,"43,227,685","48,001","40,000"
9-May-21,2021,Actual,"55,710,038","11,622,413",0,"43,474,243","573,381","40,000"
16-May-21,2021,Actual,"59,451,403","11,685,439",0,"46,917,660","808,303","40,000"
23-May-21,2021,Actual,"65,786,875","11,540,675",0,"51,916,784","2,329,415",0
30-May-21,2021,Actual,"48,650,794","12,370,408",0,"31,356,892","4,833,492","90,000"
6-Jun-21,2021,Actual,"46,301,770","8,261,165",0,"32,749,871","5,290,733",0
13-Jun-21,2021,Actual,"72,723,861","11,341,935",0,"50,707,969","10,583,956","90,000"
20-Jun-21,2021,Actual,"60,685,501","9,574,143",0,"43,331,450","7,739,907","40,000"
27-Jun-21,2021,Actual,"61,046,514","8,769,412",0,"36,204,808","15,692,293","380,000"
4-Jul-21,2021,Projection,"61,636,218","9,471,000",0,"33,564,799","18,600,418",0
11-Jul-21,2021,Projection,"52,106,198","9,282,900",0,"24,241,843","18,581,455",0
18-Jul-21,2021,Projection,"51,820,472","8,776,800",0,"25,557,335","17,486,336",0
25-Jul-21,2021,Projection,"52,808,005","8,257,300",0,"26,246,585","18,304,120",0
1-Aug-21,2021,Projection,"52,400,578","8,118,100",0,"27,132,735","17,149,742",0
8-Aug-21,2021,Projection,"49,092,207","7,188,800",0,"26,558,003","15,345,404",0
15-Aug-21,2021,Projection,"50,633,893","7,041,200",0,"29,571,859","14,020,832",0
22-Aug-21,2021,Projection,"48,034,966","7,089,900",0,"30,868,555","10,076,510",0
29-Aug-21,2021,Projection,"50,605,181","6,508,700",0,"35,672,129","8,424,351",0
5-Sep-21,2021,Projection,"40,915,708","3,419,000",0,"30,831,183","6,665,525",0
12-Sep-21,2021,Projection,"49,339,713","2,749,100",0,"41,375,764","5,214,849",0
19-Sep-21,2021,Projection,"43,670,037","2,192,900",0,"37,637,111","3,840,025",0
26-Sep-21,2021,Projection,"46,328,861","1,784,500",0,"40,988,781","3,555,578",0
3-Oct-21,2021,Projection,"41,761,696","1,856,500",0,"37,961,479","1,943,716",0
10-Oct-21,2021,Projection,"1,352,685","831,200",0,0,"521,484",0
17-Oct-21,2021,Projection,"649,523","507,300",0,0,"142,223",0
24-Oct-21,2021,Projection,"462,823","320,600",0,0,"142,223",0
31-Oct-21,2021,Projection,"414,123","271,900",0,0,"142,223",0
7-Nov-21,2021,Projection,"143,523","1,300",0,0,"142,223",0
14-Nov-21,2021,Projection,"189,631",0,0,0,"189,630",0
21-Nov-21,2021,Projection,"142,223",0,0,0,"142,223",0
28-Nov-21,2021,Projection,"142,223",0,0,0,"142,223",0
5-Dec-21,2021,Projection,"142,223",0,0,0,"142,223",0
12-Dec-21,2021,Projection,"142,223",0,0,0,"142,223",0
19-Dec-21,2021,Projection,"237,039",0,0,0,"237,038",0
26-Dec-21,2021,Projection,"237,039",0,0,0,"237,038",0
2-Jan-22,2021,Projection,"237,039",0,0,0,"237,038",0
9-Jan-22,2022,Projection,"237,039",0,0,0,"237,038",0
16-Jan-22,2022,Projection,"237,039",0,0,0,"237,038",0
